model_id,policy,seed,round,hv,igd
i01o_m1,qlogehvi_mixed,13,16,0.9302350009746799,0.02507885760390743
i01o_m1,qlogehvi_mixed,13,17,0.9303601421798359,0.02372621562391074
i01o_m1,qlogehvi_mixed,13,18,0.9303601421798359,0.02372621562391074
i01o_m1,qlogehvi_mixed,13,19,0.9303601421798359,0.02372621562391074
i01o_m1,qlogehvi_mixed,13,20,0.9303601421798359,0.02372621562391074
i01o_m1,qlogehvi_mixed_seed,11,1,0.8234846050026949,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,11,2,0.843433334505915,0.05948335245704578
i01o_m1,qlogehvi_mixed_seed,11,3,0.843433334505915,0.05948335245704578
i01o_m1,qlogehvi_mixed_seed,11,4,0.8480566418961233,0.056142471397986345
i01o_m1,qlogehvi_mixed_seed,11,5,0.8582018282670619,0.047757434041458324
i01o_m1,qlogehvi_mixed_seed,11,6,0.8582018282670619,0.047757434041458324
i01o_m1,qlogehvi_mixed_seed,11,7,0.92721101281516,0.02468885668271663
i01o_m1,qlogehvi_mixed_seed,11,8,0.92721101281516,0.02468885668271663
i01o_m1,qlogehvi_mixed_seed,11,9,0.92721101281516,0.02468885668271663
i01o_m1,qlogehvi_mixed_seed,11,10,0.9273591671861567,0.02323780198306974
i01o_m1,qlogehvi_mixed_seed,11,11,0.9273597420196794,0.02323780198306974
i01o_m1,qlogehvi_mixed_seed,11,12,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,11,13,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,11,14,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,11,15,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,11,16,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,11,17,0.9293315807113828,0.024020250088817235
i01o_m1,qlogehvi_mixed_seed,11,18,0.9293315807113828,0.024020250088817235
i01o_m1,qlogehvi_mixed_seed,11,19,0.9293315807113828,0.024020250088817235
i01o_m1,qlogehvi_mixed_seed,11,20,0.9293315807113828,0.024020250088817235
i01o_m1,qlogehvi_mixed_seed,12,1,0.8234846050026949,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,12,2,0.8234846050026949,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,12,3,0.8250849813680207,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,12,4,0.8250849813680207,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,12,5,0.8257399565540383,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,12,6,0.8341779717831231,0.06913211996621423
i01o_m1,qlogehvi_mixed_seed,12,7,0.8349079399017875,0.06913211996621423
i01o_m1,qlogehvi_mixed_seed,12,8,0.9269626803739275,0.024784648592790268
i01o_m1,qlogehvi_mixed_seed,12,9,0.9269626803739275,0.024784648592790268
i01o_m1,qlogehvi_mixed_seed,12,10,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,11,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,12,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,13,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,14,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,15,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,16,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,17,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,18,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,19,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,12,20,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,1,0.8234846050026949,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,13,2,0.8241232061613474,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,13,3,0.8241232061613474,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,13,4,0.8241232061613474,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,13,5,0.8245427932475311,0.077586512573819
i01o_m1,qlogehvi_mixed_seed,13,6,0.8543363652170457,0.049584379437022395
i01o_m1,qlogehvi_mixed_seed,13,7,0.8591981247273552,0.04688804505702774
i01o_m1,qlogehvi_mixed_seed,13,8,0.8591981247273552,0.04688804505702774
i01o_m1,qlogehvi_mixed_seed,13,9,0.8824786880938845,0.03177343946580665
i01o_m1,qlogehvi_mixed_seed,13,10,0.9230036825714416,0.005365769976880171
i01o_m1,qlogehvi_mixed_seed,13,11,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,12,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,13,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,14,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,15,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,16,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,17,0.9293292004397289,0.02481301202050631
i01o_m1,qlogehvi_mixed_seed,13,18,0.9294194720262874,0.023602827190773595
i01o_m1,qlogehvi_mixed_seed,13,19,0.9294194720262874,0.023602827190773595
i01o_m1,qlogehvi_mixed_seed,13,20,0.9294194720262874,0.023602827190773595
i01o_m1,random,11,1,0.7188664991039886,0.16560881297646113
i01o_m1,random,11,2,0.8443422707400409,0.05948335245704578
i01o_m1,random,11,3,0.8443422707400409,0.05948335245704578
i01o_m1,random,11,4,0.8480566418961233,0.056142471397986345
i01o_m1,random,11,5,0.8480566418961233,0.056142471397986345
i01o_m1,random,11,6,0.8898403373770206,0.028250029298133323
i01o_m1,random,11,7,0.8898403373770206,0.028250029298133323
i01o_m1,random,11,8,0.8898403373770206,0.028250029298133323
i01o_m1,random,11,9,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,10,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,11,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,12,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,13,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,14,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,15,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,16,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,17,0.8901615049582933,0.026332976382696622
i01o_m1,random,11,18,0.8901624210070413,0.026332976382696622
i01o_m1,random,11,19,0.8901624210070413,0.026332976382696622
i01o_m1,random,11,20,0.8901624210070413,0.026332976382696622
i01o_m1,random,12,1,0.8156542330168459,0.0854491459045665
i01o_m1,random,12,2,0.8156542330168459,0.0854491459045665
i01o_m1,random,12,3,0.8174421577108459,0.0854491459045665
i01o_m1,random,12,4,0.8174421577108459,0.0854491459045665
i01o_m1,random,12,5,0.8174421577108459,0.0854491459045665
i01o_m1,random,12,6,0.8191277686767037,0.0854491459045665
i01o_m1,random,12,7,0.8194964756194718,0.0854491459045665
i01o_m1,random,12,8,0.8194964756194718,0.0854491459045665
i01o_m1,random,12,9,0.8194970952848307,0.0854491459045665
i01o_m1,random,12,10,0.8194970952848307,0.0854491459045665
i01o_m1,random,12,11,0.8194970952848307,0.0854491459045665
i01o_m1,random,12,12,0.8194970952848307,0.0854491459045665
i01o_m1,random,12,13,0.8355953131840644,0.0696323613376835
i01o_m1,random,12,14,0.8355953131840644,0.0696323613376835
i01o_m1,random,12,15,0.8355953131840644,0.0696323613376835
i01o_m1,random,12,16,0.8355953131840644,0.0696323613376835
i01o_m1,random,12,17,0.8356025462106157,0.0696323613376835
i01o_m1,random,12,18,0.8356025462106157,0.0696323613376835
i01o_m1,random,12,19,0.84685281972082,0.05794192099992727
