model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i02o_m2,random,13,20,0,1.0,0.8936401653514257,0.913672342179258,0.041694934208246,0.022116556594844943,0.884701976590034,0.8859624876424655,0.913672342179258,129.20456729998114,0,0
i02o_m2,random_seed,11,20,0,1.0,0.8943786277920394,0.9017103242447042,0.040993710819586894,0.033966016812349474,0.8712660952439344,0.9016995190632817,0.9017103242447042,138.0802212999988,0,0
i02o_m2,random_seed,12,20,0,1.0,0.8831764879240861,0.9025525310586365,0.05118638629534975,0.032093141263168624,0.8706992112209647,0.8707162530489664,0.9025525310586365,137.13656849997642,0,0
i02o_m2,random_seed,13,20,0,1.0,0.8896876698930755,0.913672342179258,0.04552966589153403,0.022116556594844943,0.8708028278687319,0.8859624876424655,0.913672342179258,132.64044790001935,0,0
i03o_m3,parego,11,18,2,0.9,0.8370230288552597,0.858888775407926,0.07569274410561466,0.056108373555741886,0.8455174274209105,0.845641912010253,0.858888775407926,81.51192049997917,2,0
i03o_m3,parego,12,20,0,1.0,0.8600891948916094,0.9257813845054413,0.05767279213451832,0.00794464672398677,0.8150713072259141,0.8589209117060423,0.9257813845054413,80.01921680002124,0,0
i03o_m3,parego,13,19,1,0.95,0.8669722501172058,0.8922644361628014,0.049620982548581785,0.022252393268866456,0.8249125519814606,0.8863011350405078,0.8922644361628014,86.6585554999765,1,0
i03o_m3,parego_seed,11,19,1,0.95,0.8833447910073082,0.9157904488284289,0.0349226490235231,0.00670552379858441,0.8522358434839885,0.8970044491232297,0.9157904488284289,83.91587179996714,1,0
i03o_m3,parego_seed,12,20,0,1.0,0.8777257516097128,0.9104382268355519,0.040765859519687725,0.010870285860091713,0.8367221390994617,0.8720112185156995,0.9104382268355519,85.0874939999776,0,0
i03o_m3,parego_seed,13,19,1,0.95,0.8577673692477483,0.9023098457646798,0.057799111828271584,0.016618165920476075,0.8305520168183061,0.8518647527841839,0.9023098457646798,85.14633039999171,1,0
i03o_m3,qlogehvi_mixed,11,19,1,0.95,0.8908843227536953,0.921436755963843,0.03233568503752401,0.009730455584211616,0.9134195755937154,0.9152450896434778,0.921436755963843,102.14832260002731,1,0
i03o_m3,qlogehvi_mixed,12,20,0,1.0,0.878187447200522,0.9185771688065972,0.042233864051695026,0.00910148449227377,0.8150713072259141,0.913685715100638,0.9185771688065972,106.60791079996852,0,0
i03o_m3,qlogehvi_mixed,13,19,1,0.95,0.8919764876868562,0.9137634857430261,0.028793572183192083,0.009760825425094644,0.8257778314209315,0.9116804795672536,0.9137634857430261,108.77395940003044,1,0
i03o_m3,qlogehvi_mixed_seed,11,19,1,0.95,0.8765770818325206,0.9194492478197185,0.04209888483080246,0.00925005751759615,0.8455174274209105,0.8502603605480077,0.9194492478197185,106.30254619994957,1,0
i03o_m3,qlogehvi_mixed_seed,12,20,0,1.0,0.8859030567746048,0.9203636753413463,0.03472248342204262,0.008135675314520243,0.8339115762124385,0.9119659079876712,0.9203636753413463,96.51913169998443,0,0
i03o_m3,qlogehvi_mixed_seed,13,19,1,0.95,0.8862275071915725,0.916252286747886,0.03427585698315448,0.009920452179119802,0.8305520168183061,0.9149967726700304,0.916252286747886,107.64146650000475,1,0
i03o_m3,random,11,17,3,0.85,0.8409709579646778,0.8597515545005704,0.07180020612984483,0.05495850415854121,0.8455174274209105,0.8595260966694651,0.8597515545005704,182.40823319999618,3,0
i03o_m3,random,12,17,3,0.85,0.8171479644179886,0.8429034257678881,0.094077996071903,0.07071851233833402,0.8150713072259141,0.8191131504855568,0.8429034257678881,167.76012279998395,3,0
i03o_m3,random,13,18,2,0.9,0.8538849407259559,0.8791612148067853,0.05953165558231729,0.037896423504755625,0.8246285920818598,0.8531840346369214,0.8791612148067853,167.5495069999888,2,0
i03o_m3,random_seed,11,17,3,0.85,0.8522622881899783,0.8597515545005704,0.06186677031832154,0.05495850415854121,0.8455174274209105,0.8595260966694651,0.8597515545005704,167.8436963999702,3,0
i03o_m3,random_seed,12,17,3,0.85,0.8320358581276386,0.842904825187959,0.08047278552844553,0.07071851233833402,0.8310826641708655,0.8310826641708655,0.842904825187959,158.2341099000041,3,0
i03o_m3,random_seed,13,18,2,0.9,0.855318519552223,0.8791612148067853,0.058318688780965106,0.037896423504755625,0.8305520168183061,0.8531840346369214,0.8791612148067853,159.9216973999719,2,0
i04o_m4,parego,11,20,0,1.0,0.8915472182444169,0.9229236837615777,0.03712260231096037,0.007361540091619113,0.8486541573957347,0.9128428148475315,0.9229236837615777,79.12720849998004,0,0
i04o_m4,parego,12,19,1,0.95,0.8465296957657656,0.8647169038944176,0.08187171929581341,0.06428971275166424,0.793954384929909,0.8647153586684703,0.8647169038944176,72.96766670000216,1,0
i04o_m4,parego,13,20,0,1.0,0.894880343244131,0.9334314252674495,0.036916693346719584,0.0016230019832932925,0.8565752169215877,0.8833716055398806,0.9334314252674495,80.38198369997554,0,0
i04o_m4,parego_seed,11,20,0,1.0,0.8757232923884161,0.927196937356025,0.05395778344158607,0.0038805704943965236,0.8331754378714069,0.8724284509694152,0.927196937356025,83.73545980000927,0,0
i04o_m4,parego_seed,12,20,0,1.0,0.8797962480915359,0.9112328583537078,0.04942960127945222,0.018784249329656146,0.8276071401690465,0.9091618066238861,0.9112328583537078,80.70875859996886,0,0
i04o_m4,parego_seed,13,20,0,1.0,0.891538038216346,0.9340432905620798,0.03819350253928672,0.0016456301628938208,0.8745694858830931,0.909429527071746,0.9340432905620798,83.23164760002692,0,0
i04o_m4,qlogehvi_mixed,11,20,0,1.0,0.9069194154390933,0.9333141534243286,0.02376284826769163,0.001138807948766247,0.9264306684540872,0.9283844558551281,0.9333141534243286,110.22368849998747,0,0
i04o_m4,qlogehvi_mixed,12,20,0,1.0,0.8724570869869468,0.9314037018557664,0.05750992295278116,0.0009611415026331853,0.7939581853823316,0.85964764387089,0.9314037018557664,108.05734929996834,0,0
i04o_m4,qlogehvi_mixed,13,20,0,1.0,0.8818332081211446,0.9334317594860116,0.04824907905728302,0.0007203552208976894,0.8553573343180146,0.8563161113636906,0.9334317594860116,99.84767690001172,0,0
i04o_m4,qlogehvi_mixed_seed,11,20,0,1.0,0.881033258557038,0.9307893449872173,0.04911117423297542,0.0011821842157026736,0.8331133733018045,0.8499312244596943,0.9307893449872173,136.66017070002272,0,0
i04o_m4,qlogehvi_mixed_seed,12,20,0,1.0,0.8826715424571925,0.9322224039374262,0.04714678798889125,0.0008717566272424211,0.8275036782875168,0.8778424780826972,0.9322224039374262,134.72195770002145,0,0
i04o_m4,qlogehvi_mixed_seed,13,20,0,1.0,0.8933594017997367,0.9298317174998519,0.0373089038497247,0.002087704860524761,0.8279303490945689,0.9296888837011559,0.9298317174998519,127.99161230005848,0,0
i04o_m4,random,11,20,0,1.0,0.8702714933607216,0.8892658648195587,0.057695251283038054,0.040055676713029495,0.8331133733018045,0.8892658648195587,0.8892658648195587,140.14776269999857,0,0
